orf_id	cazyme_class	cazyme_family	class_name	evalue	coverage	substrate_predicted
contig_5_cazyme_GH_GH1_1	GH	GH1	Glycoside Hydrolases	6.21e-06	0.77	beta-glucan
contig_5_cazyme_GH_GH1_2	GH	GH1	Glycoside Hydrolases	9.71e-07	0.97	mannan
contig_2_cazyme_GH_GH1_3	GH	GH1	Glycoside Hydrolases	8.20e-06	0.95	cellulose
contig_5_cazyme_GH_GH18_1	GH	GH18	Glycoside Hydrolases	4.79e-06	0.9	starch
contig_4_cazyme_GH_GH13_1	GH	GH13	Glycoside Hydrolases	6.17e-06	0.9	pectin
contig_6_cazyme_GH_GH13_2	GH	GH13	Glycoside Hydrolases	4.18e-06	0.98	beta-glucan
contig_5_cazyme_GH_GH4_1	GH	GH4	Glycoside Hydrolases	5.75e-06	0.85	starch
contig_5_cazyme_GH_GH4_2	GH	GH4	Glycoside Hydrolases	6.54e-07	0.78	cellulose
contig_1_cazyme_GH_GH4_3	GH	GH4	Glycoside Hydrolases	2.62e-06	0.85	starch
contig_5_cazyme_GH_GH73_1	GH	GH73	Glycoside Hydrolases	8.67e-06	0.98	beta-glucan
contig_2_cazyme_GH_GH46_1	GH	GH46	Glycoside Hydrolases	7.08e-06	0.86	pectin
contig_3_cazyme_GH_GH32_1	GH	GH32	Glycoside Hydrolases	5.00e-06	0.88	beta-glucan
contig_4_cazyme_GT_GT8_1	GT	GT8	Glycosyl Transferases	1.33e-06	0.79	xylan
contig_2_cazyme_GT_GT8_2	GT	GT8	Glycosyl Transferases	8.96e-06	0.76	chitin
contig_3_cazyme_GT_GT8_3	GT	GT8	Glycosyl Transferases	6.66e-07	0.84	chitin
contig_4_cazyme_GT_GT5_1	GT	GT5	Glycosyl Transferases	2.64e-06	0.93	chitin
contig_3_cazyme_GT_GT51_1	GT	GT51	Glycosyl Transferases	4.03e-06	0.85	mannan
contig_2_cazyme_GT_GT51_2	GT	GT51	Glycosyl Transferases	7.69e-07	0.76	cellulose
contig_6_cazyme_PL_PL11_1	PL	PL11	Polysaccharide Lyases	1.52e-06	0.91	pectin
contig_4_cazyme_PL_PL11_2	PL	PL11	Polysaccharide Lyases	9.70e-06	0.98	cellulose
contig_4_cazyme_PL_PL1_1	PL	PL1	Polysaccharide Lyases	2.61e-07	0.84	starch
contig_6_cazyme_PL_PL1_2	PL	PL1	Polysaccharide Lyases	2.24e-06	0.88	cellulose
contig_5_cazyme_PL_PL9_1	PL	PL9	Polysaccharide Lyases	5.22e-06	0.82	peptidoglycan
contig_4_cazyme_PL_PL9_2	PL	PL9	Polysaccharide Lyases	9.82e-06	0.98	chitin
contig_6_cazyme_CE_CE4_1	CE	CE4	Carbohydrate Esterases	3.90e-06	0.86	cellulose
contig_4_cazyme_CE_CE4_2	CE	CE4	Carbohydrate Esterases	2.56e-06	0.9	cellulose
contig_4_cazyme_CE_CE4_3	CE	CE4	Carbohydrate Esterases	7.47e-06	0.77	pectin
contig_3_cazyme_CE_CE11_1	CE	CE11	Carbohydrate Esterases	3.67e-06	0.83	starch
contig_6_cazyme_CE_CE11_2	CE	CE11	Carbohydrate Esterases	3.64e-06	0.82	peptidoglycan
contig_2_cazyme_CE_CE10_1	CE	CE10	Carbohydrate Esterases	5.83e-06	0.84	peptidoglycan
contig_5_cazyme_CE_CE10_2	CE	CE10	Carbohydrate Esterases	3.76e-06	0.76	mannan
contig_6_cazyme_CE_CE7_1	CE	CE7	Carbohydrate Esterases	9.21e-06	0.79	pectin
contig_2_cazyme_CE_CE1_1	CE	CE1	Carbohydrate Esterases	4.14e-06	0.9	mannan
contig_6_cazyme_AA_AA4_1	AA	AA4	Auxiliary Activities	9.39e-06	0.76	starch
contig_1_cazyme_AA_AA4_2	AA	AA4	Auxiliary Activities	3.01e-06	0.95	beta-glucan
contig_2_cazyme_AA_AA6_1	AA	AA6	Auxiliary Activities	2.52e-06	0.93	chitin
contig_6_cazyme_AA_AA7_1	AA	AA7	Auxiliary Activities	4.27e-06	0.76	pectin
contig_4_cazyme_AA_AA7_2	AA	AA7	Auxiliary Activities	7.75e-06	0.76	cellulose
contig_4_cazyme_AA_AA7_3	AA	AA7	Auxiliary Activities	4.89e-06	0.77	pectin
contig_5_cazyme_CBM_CBM32_1	CBM	CBM32	Carbohydrate-Binding Modules	2.21e-07	0.8	pectin
contig_5_cazyme_CBM_CBM32_2	CBM	CBM32	Carbohydrate-Binding Modules	9.57e-06	0.95	mannan
contig_6_cazyme_CBM_CBM32_3	CBM	CBM32	Carbohydrate-Binding Modules	2.79e-06	0.98	peptidoglycan
contig_2_cazyme_CBM_CBM50_1	CBM	CBM50	Carbohydrate-Binding Modules	9.93e-06	0.84	starch
contig_5_cazyme_CBM_CBM50_2	CBM	CBM50	Carbohydrate-Binding Modules	9.43e-06	0.82	starch
contig_6_cazyme_CBM_CBM50_3	CBM	CBM50	Carbohydrate-Binding Modules	6.37e-06	0.95	mannan
contig_3_cazyme_CBM_CBM5_1	CBM	CBM5	Carbohydrate-Binding Modules	9.36e-06	0.93	pectin
contig_6_cazyme_CBM_CBM5_2	CBM	CBM5	Carbohydrate-Binding Modules	1.69e-06	0.91	mannan
contig_3_cazyme_CBM_CBM2_1	CBM	CBM2	Carbohydrate-Binding Modules	7.12e-06	0.86	peptidoglycan
contig_1_cazyme_CBM_CBM2_2	CBM	CBM2	Carbohydrate-Binding Modules	2.91e-06	0.96	starch
contig_6_cazyme_CBM_CBM6_1	CBM	CBM6	Carbohydrate-Binding Modules	8.73e-07	0.79	cellulose
contig_1_cazyme_CBM_CBM6_2	CBM	CBM6	Carbohydrate-Binding Modules	2.85e-06	0.76	cellulose
contig_4_cazyme_CBM_CBM6_3	CBM	CBM6	Carbohydrate-Binding Modules	4.42e-06	0.98	starch
contig_5_cazyme_CBM_CBM13_1	CBM	CBM13	Carbohydrate-Binding Modules	3.85e-06	0.91	peptidoglycan
contig_5_cazyme_CBM_CBM13_2	CBM	CBM13	Carbohydrate-Binding Modules	3.91e-06	0.9	starch
contig_1_cazyme_CBM_CBM13_3	CBM	CBM13	Carbohydrate-Binding Modules	6.02e-07	0.92	chitin
